"","id","X","Unnamed..0","parent","leaf_lft","leaf_rgt","unnamed.0","age","proportions","dated_nodes","real_descendants","all_descendants","species_richness","log_richness","speciesrichness_group","name","ott"
"1",904568,904567,0,904567,904565,904584,0,0,"[7, 7, 19]",7,7,19,20,1.30102999566398,"1-2","Mesalina",437768
"2",877302,877301,0,877299,877295,877355,0,0,"[6, 29, 60]",6,29,60,61,1.78532983501077,"1-2","Arthroleptis",968551
"3",217367,217366,0,217366,217360,217378,0,0,"[3, 3, 18]",3,3,18,19,1.27875360095283,"1-2","Leersia",137214
"4",895457,895456,0,895453,895454,895464,0,11.18227466,"[10, 9, 10]",10,9,10,11,1.04139268515823,"1-2","Lichmera",527598
"5",1598724,1598723,0,1598723,1598720,1599419,0,0,"[66, 74, 699]",66,74,699,700,2.84509804001426,"2-3","Copelatinae",331598
"6",1331620,1331619,0,1331618,1331619,1332283,0,0,"[3, 57, 664]",3,57,664,665,2.8228216453031,"2-3","Tettigoniinae",430706
"7",493612,493611,0,493571,493609,493934,0,0,"[7, 11, 325]",7,11,325,326,2.51321760006794,"2-3","Metastelmatinae",5518225
"8",467777,467776,0,467776,467772,467875,0,0,"[6, 26, 103]",6,26,103,104,2.01703333929878,"2-3","Euryops",812770
"9",1406947,1406946,0,1406946,1406945,1408259,0,0,"[3, 48, 1314]",3,48,1314,1315,3.11892575282578,"3-4","Orthotylinae",232682
"10",1176572,1176571,0,1176473,1176570,1180073,0,0,"[24, 255, 3503]",24,255,3503,3504,3.54456409749604,"3-4","Pleurostigmophora",308377
"11",308570,308569,0,308309,308566,312857,0,0,"[297, 688, 4291]",297,688,4291,4292,3.63265971329391,"3-4","Brassicaceae",309271
"12",1608962,1608961,0,1608739,1608959,1611372,0,0,"[5, 55, 2413]",5,55,2413,2414,3.38273726576133,"3-4","Trechini",804605
"13",1375028,1375027,0,1372569,1375025,1386444,0,0,"[7, 1329, 11419]",7,1329,11419,11420,4.05766610390983,"4-5","Pentatomomorpha",291358
"14",441431,441430,0,441217,441428,455049,0,0,"[23, 196, 13621]",23,196,13621,13622,4.13424087594659,"4-5","Cichorieae",578387
"15",889849,889848,0,889826,889847,899848,0,113.25457421959,"[10001, 9813, 10001]",10001,9813,10001,10002,4.00008685021165,"4-5","Aves",81461
"16",1284470,1284469,0,1284469,1284469,1332283,0,0,"[79, 5300, 47814]",79,5300,47814,47815,4.67956416011224,"4-5","Polyneoptera",815351
"17",174899,174898,0,174786,174898,541347,0,0,"[10747, 31314, 366449]",10747,31314,366449,366450,5.56401472602912,"5-6","Mesangiospermae",5298374
"18",543115,543114,0,543114,543114,804913,0,1050.037518,"[300, 7790, 261799]",300,7790,261799,261800,5.41796964221474,"5-6","Holomycota",5246132
"19",939773,939772,0,914583,939772,1061703,0,0,"[160, 9788, 121931]",160,9788,121931,121932,5.08611769741192,"5-6","Trochozoa",0
"20",1452620,1452619,0,1332284,1452620,2235076,0,0,"[1893, 46982, 782456]",1893,46982,782456,782457,5.89346048017907,"5-6","Holometabola",1082885
"21",804914,804913,0,543114,804914,2235076,0,1100.037518,"[32977, 144598, 1430162]",32977,144598,1430162,1430163,6.15538553814081,"6-7","Holozoa",5246131
"22",827928,827927,0,827493,827928,2235076,0,560.037518,"[32881, 134368, 1407148]",32881,134368,1407148,1407149,6.14834008638406,"6-7","Nephrozoa",0
"23",910759,910758,0,827928,910759,2235076,0,510.037518,"[2826, 97046, 1324317]",2826,97046,1324317,1324318,6.12199228197884,"6-7","Protostomia",189832
"24",805042,805041,0,804914,805042,2235076,0,980.037518,"[32974, 144564, 1430034]",32974,144564,1430034,1430035,6.1553466669202,"6-7","Filozoa",0
